zone_id,zone_name,region,approx_population_2023,vulnerability_index,infrastructure_deprivation_index,informal_settlement_density,data_source,notes,lat,lon
Z1,Thiruvottiyur,North,268000,0.9,0.85,High,"Nandhini et al. 2025 (TOPSIS composite index, IIT Kharagpur/NIUA)",North zone -- high physical + socio-economic vulnerability per composite TOPSIS index; historic flood-prone industrial belt,13.16,80.3
Z2,Manali,North,190000,0.88,0.82,High,Nandhini et al. 2025 (TOPSIS composite index),"North zone -- high composite vulnerability; industrial/petrochemical belt, low-lying, frequent monsoon waterlogging",13.17,80.26
Z3,Madhavaram,North,210000,0.82,0.75,Medium-High,Nandhini et al. 2025 (TOPSIS composite index),"North zone -- high composite vulnerability per study; rapid unplanned growth post-2011 merger, drainage deficit",13.15,80.23
Z4,Tondiarpet,North,230000,0.85,0.78,High,Nandhini et al. 2025 (TOPSIS composite index),North zone -- high composite vulnerability; Dec 2023 Cyclone Michaung worst-hit area,13.12,80.29
Z5,Royapuram,North,215000,0.83,0.74,High,Nandhini et al. 2025 (TOPSIS composite index),North zone -- high composite vulnerability; dense informal settlements along Buckingham Canal,13.11,80.295
Z6,Thiru-Vi-Ka-Nagar,North,225000,0.79,0.7,Medium-High,Nandhini et al. 2025 (TOPSIS composite index),North zone -- high composite vulnerability; recurring waterlogging near Otteri Nullah,13.1,80.255
Z7,Ambattur,West,410000,0.74,0.68,Medium-High,Nandhini et al. 2025 (western-periphery socio-economic vulnerability finding),"Western periphery -- study flags this belt as high socio-economic vulnerability (informal settlement density, infrastructure gaps)",13.1,80.16
Z8,Anna Nagar,Central,280000,0.3,0.28,Low,Nandhini et al. 2025 (central/coastal low physical vulnerability finding),Central zone -- study finds central/better-planned zones have low composite vulnerability; strong stormwater infrastructure,13.09,80.21
Z9,Teynampet,Central,240000,0.35,0.32,Low,Nandhini et al. 2025 (central/coastal low physical vulnerability finding),"Central zone -- low composite vulnerability per study; commercial/residential core, better infrastructure coverage",13.04,80.25
Z10,Kodambakkam,Central,255000,0.4,0.36,Low-Medium,Nandhini et al. 2025 (central/coastal low physical vulnerability finding),Central zone -- low-medium composite vulnerability; dense but established residential zone,13.05,80.225
Z11,Valasaravakkam,West,300000,0.7,0.62,Medium-High,Nandhini et al. 2025 (western-periphery socio-economic vulnerability finding),Western periphery -- study flags this belt as high socio-economic vulnerability; peri-urban growth outpacing infrastructure,13.04,80.18
Z12,Alandur,South,270000,0.55,0.48,Medium,Independent physical-flood-exposure evidence (Adyar floodplain proximity); not explicitly zoned in Nandhini et al. 2025,Near airport; low-lying pockets near Adyar river floodplain,12.995,80.2
Z13,Adyar,South,320000,0.48,0.38,Medium,Independent physical-flood-exposure evidence (Adyar river exposure); not explicitly zoned in Nandhini et al. 2025,Mixed affluent/low-income riverside settlements; Adyar river flood exposure,13.005,80.257
Z14,Perungudi,South,260000,0.68,0.58,Medium-High,Independent hydrological evidence (Pallikaranai marsh floodplain studies); Nandhini et al. 2025 also flags southern parts in combined-high category,"IT-corridor growth zone; Pallikaranai marsh floodplain, severe 2015/2023 flooding",12.965,80.245
Z15,Sholinganallur,South,300000,0.71,0.6,Medium-High,Independent hydrological evidence (OMR corridor flood studies); Nandhini et al. 2025 also flags southern parts in combined-high category,"IT-corridor; low-lying OMR belt; recurring flash flooding (2015, 2021, 2023 events)",12.9,80.23
